"BehaviorSpace results (NetLogo 6.2.2)"
"./baby_2.nlogo"
"experiment_test"
"03/06/2022 23:25:17:674 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","ticks_stop","enable_conflict","A_number_citizens","conflict_count_per_cycle","enable_reproduce","A_tough_loose","b","B_tough_loose","B_number_citizens","[step]","count A_citizens","count B_citizens"
"7","300","true","150","4","true","0.5","0.23","0.3","150","33","61","128"
"4","300","true","150","2","true","0.5","0.23","0.3","250","18","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","28","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","40","121","45"
"1","300","true","150","2","true","0.3","0.23","0.3","150","38","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","34","61","128"
"8","300","true","150","4","true","0.5","0.23","0.3","250","19","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","29","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","41","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","35","61","128"
"1","300","true","150","2","true","0.3","0.23","0.3","150","39","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","30","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","42","121","22"
"4","300","true","150","2","true","0.5","0.23","0.3","250","19","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","43","121","22"
"2","300","true","150","2","true","0.3","0.23","0.3","250","18","150","250"
"7","300","true","150","4","true","0.5","0.23","0.3","150","36","61","128"
"6","300","true","150","4","true","0.3","0.23","0.3","250","21","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","40","128","61"
"8","300","true","150","4","true","0.5","0.23","0.3","250","20","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","44","121","22"
"5","300","true","150","4","true","0.3","0.23","0.3","150","45","121","22"
"3","300","true","150","2","true","0.5","0.23","0.3","150","31","61","128"
"7","300","true","150","4","true","0.5","0.23","0.3","150","37","61","128"
"1","300","true","150","2","true","0.3","0.23","0.3","150","41","128","61"
"4","300","true","150","2","true","0.5","0.23","0.3","250","20","112","237"
"6","300","true","150","4","true","0.3","0.23","0.3","250","22","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","32","61","128"
"7","300","true","150","4","true","0.5","0.23","0.3","150","38","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","46","121","22"
"1","300","true","150","2","true","0.3","0.23","0.3","150","42","128","61"
"8","300","true","150","4","true","0.5","0.23","0.3","250","21","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","33","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","47","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","39","61","128"
"1","300","true","150","2","true","0.3","0.23","0.3","150","43","128","61"
"2","300","true","150","2","true","0.3","0.23","0.3","250","19","112","237"
"4","300","true","150","2","true","0.5","0.23","0.3","250","21","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","48","121","22"
"6","300","true","150","4","true","0.3","0.23","0.3","250","23","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","34","61","128"
"1","300","true","150","2","true","0.3","0.23","0.3","150","44","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","40","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","49","121","22"
"3","300","true","150","2","true","0.5","0.23","0.3","150","35","61","128"
"7","300","true","150","4","true","0.5","0.23","0.3","150","41","61","128"
"1","300","true","150","2","true","0.3","0.23","0.3","150","45","128","61"
"8","300","true","150","4","true","0.5","0.23","0.3","250","22","112","237"
"2","300","true","150","2","true","0.3","0.23","0.3","250","20","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","50","121","22"
"3","300","true","150","2","true","0.5","0.23","0.3","150","36","61","128"
"4","300","true","150","2","true","0.5","0.23","0.3","250","22","84","225"
"7","300","true","150","4","true","0.5","0.23","0.3","150","42","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","51","121","22"
"1","300","true","150","2","true","0.3","0.23","0.3","150","46","128","61"
"6","300","true","150","4","true","0.3","0.23","0.3","250","24","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","37","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","52","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","43","45","121"
"1","300","true","150","2","true","0.3","0.23","0.3","150","47","128","61"
"5","300","true","150","4","true","0.3","0.23","0.3","150","53","121","22"
"3","300","true","150","2","true","0.5","0.23","0.3","150","38","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","54","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","44","45","121"
"8","300","true","150","4","true","0.5","0.23","0.3","250","23","112","237"
"4","300","true","150","2","true","0.5","0.23","0.3","250","23","84","225"
"2","300","true","150","2","true","0.3","0.23","0.3","250","21","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","48","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","45","45","121"
"3","300","true","150","2","true","0.5","0.23","0.3","150","39","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","55","121","22"
"6","300","true","150","4","true","0.3","0.23","0.3","250","25","56","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","46","22","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","56","121","22"
"1","300","true","150","2","true","0.3","0.23","0.3","150","49","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","47","22","121"
"3","300","true","150","2","true","0.5","0.23","0.3","150","40","61","128"
"7","300","true","150","4","true","0.5","0.23","0.3","150","48","22","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","57","121","22"
"8","300","true","150","4","true","0.5","0.23","0.3","250","24","112","237"
"4","300","true","150","2","true","0.5","0.23","0.3","250","24","84","225"
"7","300","true","150","4","true","0.5","0.23","0.3","150","49","22","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","58","121","22"
"2","300","true","150","2","true","0.3","0.23","0.3","250","22","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","50","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","50","22","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","59","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","51","22","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","60","121","22"
"3","300","true","150","2","true","0.5","0.23","0.3","150","41","61","128"
"6","300","true","150","4","true","0.3","0.23","0.3","250","26","56","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","51","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","52","22","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","61","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","53","22","121"
